schema_version,run_id,workload_id,workload_name,dataset_id,model_name,model_params_b,architecture,quantization,backend,flash_mode,pipeline,n_ctx,prefix_tokens,compactable_tokens,live_suffix_tokens,compression_ratio,compacted_tokens,continuation_tokens,prefill_ms,prefill_tok_s,compaction_time_ms,query_generation_time_ms,solver_time_ms,first_token_ms,baseline_decode_tok_s,compacted_decode_tok_s,throughput_delta_pct,active_n_kv,allocated_kv_bytes,reclaimed_kv_bytes,logit_cosine,task_metric_name,task_metric_value,quality_correct,quality_total,quality_accuracy,quality_baseline_accuracy,threshold_name,threshold_value,pass,fallback_used,fallback_reason,crash,error_text,artifact_path
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,4096,3276,2620,656,1,0,16,10207.1,321.0,0.0,0.0,0.0,92.4,10.8,10.8,0.0000,3292,,,1.000000,,,,,,,,0.0000,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,8192,6553,5242,1311,1,0,16,22638.5,289.5,0.0,0.0,0.0,172.5,5.8,5.8,0.0000,6569,,,1.000000,,,,,,,,0.0000,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,16384,13107,10485,2622,1,0,16,58849.7,222.7,0.0,0.0,0.0,206.4,4.8,4.8,0.0000,13123,,,1.000000,,,,,,,,0.0000,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,32768,26214,20971,5243,1,0,16,172846.4,151.7,0.0,0.0,0.0,198.0,5.0,5.0,0.0000,26230,,,1.000000,,,,,,,,0.0000,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,2,1310,16,10199.4,321.2,417.0,0.0,0.0,98.3,24.1,10.2,-57.7011,768,,,0.999548,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,4,655,16,10577.0,309.7,351.4,0.0,0.0,79.4,24.1,12.6,-47.7642,768,,,0.998645,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,8,327,16,10208.8,320.9,311.1,0.0,0.0,69.3,24.6,14.4,-41.2552,768,,,0.996505,,,,,,,W2:logit_cosine:8,0.8500,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,2,2621,16,22561.5,290.5,829.5,0.0,0.0,168.3,19.1,5.9,-68.8883,1536,,,0.999189,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,4,1310,16,22530.3,290.9,696.3,0.0,0.0,125.7,19.2,8.0,-58.5985,1536,,,0.998334,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-024715-d3e2aacd-build-host,W2,standard,synthetic-sec,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,8,655,16,22676.7,289.0,634.5,0.0,0.0,107.5,18.9,9.3,-50.7221,1536,,,0.997211,,,,,,,W2:logit_cosine:8,0.8500,true,false,,false,,
