active_n_kv,architecture,baseline_decode_tok_s,compacted_decode_tok_s,compaction_time_ms,compression_ratio,decode_tok_s,decode_tokens,engine,logit_cosine,model,model_params_b,n_ctx,pass,pipeline,prefill_tok_s,prompt_tokens,quantization,test_type
,deepseek-r1,,,,1,15.47,128,ollama,,deepseek-r1-14b,14.0,,True,,71.65,644,Q4_K_M,inference
,deepseek-r1,,,,1,15.25,128,llama.cpp,,deepseek-r1-14b,14.0,,True,,166.84,512,Q4_K_M,inference
,deepseek-r1,,,,1,14.77,128,modelai-llama.cpp,,deepseek-r1-14b,14.0,,True,,156.77,512,Q4_K_M,inference
,deepseek-r1,,,,1,13.5,128,ollama,,deepseek-r1-14b,14.0,,True,,191.02,2564,Q4_K_M,inference
,deepseek-r1,,,,1,13.35,128,llama.cpp,,deepseek-r1-14b,14.0,,True,,148.68,2048,Q4_K_M,inference
,deepseek-r1,,,,1,14.23,128,modelai-llama.cpp,,deepseek-r1-14b,14.0,,True,,144.07,2048,Q4_K_M,inference
,deepseek-r1,,,,1,13.76,128,ollama,,deepseek-r1-14b,14.0,,True,,241.01,5124,Q4_K_M,inference
,deepseek-r1,,,,1,14.47,128,llama.cpp,,deepseek-r1-14b,14.0,,True,,115.49,4096,Q4_K_M,inference
,deepseek-r1,,,,1,15.47,128,modelai-llama.cpp,,deepseek-r1-14b,14.0,,True,,124.33,4096,Q4_K_M,inference
768,deepseek-r1,11.8,4.7,1099.6,2,,,modelai-compact,0.99901,deepseek-r1-14b,14.0,4096,True,select,,,Q4_K_M,compaction
768,deepseek-r1,11.6,6.9,730.5,4,,,modelai-compact,0.997281,deepseek-r1-14b,14.0,4096,True,select,,,Q4_K_M,compaction
768,deepseek-r1,9.8,8.2,530.3,8,,,modelai-compact,0.994192,deepseek-r1-14b,14.0,4096,True,select,,,Q4_K_M,compaction
768,deepseek-r1,12.0,8.2,69086.1,4,,,modelai-compact,0.773729,deepseek-r1-14b,14.0,4096,False,nonuniform,,,Q4_K_M,compaction
1536,deepseek-r1,10.3,4.0,1224.4,2,,,modelai-compact,0.998317,deepseek-r1-14b,14.0,8192,True,select,,,Q4_K_M,compaction
1536,deepseek-r1,10.0,4.9,977.0,4,,,modelai-compact,0.995857,deepseek-r1-14b,14.0,8192,True,select,,,Q4_K_M,compaction
1536,deepseek-r1,10.3,5.8,886.1,8,,,modelai-compact,0.992792,deepseek-r1-14b,14.0,8192,True,select,,,Q4_K_M,compaction
1536,deepseek-r1,10.4,5.8,127332.6,4,,,modelai-compact,0.215016,deepseek-r1-14b,14.0,8192,False,nonuniform,,,Q4_K_M,compaction
2816,deepseek-r1,6.4,0.7,5046.8,2,,,modelai-compact,0.998775,deepseek-r1-14b,14.0,16384,True,select,,,Q4_K_M,compaction
2816,deepseek-r1,7.1,2.9,2806.1,4,,,modelai-compact,0.997208,deepseek-r1-14b,14.0,16384,True,select,,,Q4_K_M,compaction
2816,deepseek-r1,6.5,3.7,2434.7,8,,,modelai-compact,0.99656,deepseek-r1-14b,14.0,16384,True,select,,,Q4_K_M,compaction
2816,deepseek-r1,7.1,3.6,423453.3,4,,,modelai-compact,0.332509,deepseek-r1-14b,14.0,16384,False,nonuniform,,,Q4_K_M,compaction
,gemma3,,,,1,18.04,114,ollama,,gemma3-12b,12.0,,True,,166.6,650,Q4_K_M,inference
,gemma3,,,,1,17.61,128,ollama,,gemma3-12b,12.0,,True,,248.3,2570,Q4_K_M,inference
,gemma3,,,,1,17.05,115,ollama,,gemma3-12b,12.0,,True,,187.19,5130,Q4_K_M,inference
,gemma3,,,,2,,,modelai-compact,,gemma3-12b,12.0,4096,False,select,,,Q4_K_M,compaction
,gemma3,,,,4,,,modelai-compact,,gemma3-12b,12.0,4096,False,select,,,Q4_K_M,compaction
,gemma3,,,,8,,,modelai-compact,,gemma3-12b,12.0,4096,False,select,,,Q4_K_M,compaction
,gemma3,,,,4,,,modelai-compact,,gemma3-12b,12.0,4096,False,nonuniform,,,Q4_K_M,compaction
,gemma3,,,,2,,,modelai-compact,,gemma3-12b,12.0,8192,False,select,,,Q4_K_M,compaction
,gemma3,,,,4,,,modelai-compact,,gemma3-12b,12.0,8192,False,select,,,Q4_K_M,compaction
,gemma3,,,,8,,,modelai-compact,,gemma3-12b,12.0,8192,False,select,,,Q4_K_M,compaction
,gemma3,,,,4,,,modelai-compact,,gemma3-12b,12.0,8192,False,nonuniform,,,Q4_K_M,compaction
,gemma3,,,,2,,,modelai-compact,,gemma3-12b,12.0,16384,False,select,,,Q4_K_M,compaction
,gemma3,,,,4,,,modelai-compact,,gemma3-12b,12.0,16384,False,select,,,Q4_K_M,compaction
,gemma3,,,,8,,,modelai-compact,,gemma3-12b,12.0,16384,False,select,,,Q4_K_M,compaction
,gemma3,,,,4,,,modelai-compact,,gemma3-12b,12.0,16384,False,nonuniform,,,Q4_K_M,compaction
,qwen3,,,,1,12.18,128,ollama,,qwen3-14b,14.0,,True,,84.08,651,Q4_K_M,inference
,qwen3,,,,1,15.66,128,llama.cpp,,qwen3-14b,14.0,,True,,159.78,512,Q4_K_M,inference
,qwen3,,,,1,3.38,128,modelai-llama.cpp,,qwen3-14b,14.0,,True,,160.23,512,Q4_K_M,inference
,qwen3,,,,1,15.54,128,ollama,,qwen3-14b,14.0,,True,,121.79,2571,Q4_K_M,inference
,qwen3,,,,1,4.31,128,modelai-llama.cpp,,qwen3-14b,14.0,,True,,154.66,2048,Q4_K_M,inference
,qwen3,,,,1,12.82,128,ollama,,qwen3-14b,14.0,,True,,127.94,5131,Q4_K_M,inference
,qwen3,,,,1,14.9,128,llama.cpp,,qwen3-14b,14.0,,True,,146.66,4096,Q4_K_M,inference
,qwen3,,,,1,14.7,128,modelai-llama.cpp,,qwen3-14b,14.0,,True,,146.7,4096,Q4_K_M,inference
768,qwen3,13.0,7.0,592.3,2,,,modelai-compact,0.995126,qwen3-14b,14.0,4096,True,select,,,Q4_K_M,compaction
768,qwen3,13.0,8.3,483.0,4,,,modelai-compact,0.995594,qwen3-14b,14.0,4096,True,select,,,Q4_K_M,compaction
768,qwen3,12.4,8.8,438.1,8,,,modelai-compact,0.9919,qwen3-14b,14.0,4096,True,select,,,Q4_K_M,compaction
768,qwen3,12.2,9.1,53575.0,4,,,modelai-compact,0.338543,qwen3-14b,14.0,4096,False,nonuniform,,,Q4_K_M,compaction
1536,qwen3,10.7,4.6,1154.3,2,,,modelai-compact,0.998858,qwen3-14b,14.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3,11.1,5.8,789.8,4,,,modelai-compact,0.996966,qwen3-14b,14.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3,10.8,6.4,745.8,8,,,modelai-compact,0.994661,qwen3-14b,14.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3,10.2,6.6,120857.6,4,,,modelai-compact,0.554956,qwen3-14b,14.0,8192,False,nonuniform,,,Q4_K_M,compaction
