model,size_gb,pipeline,ratio,cosine_similarity,threshold,pass_fail,compaction_time_ms,baseline_tok_s,compacted_tok_s,prefix_tokens
TinyLlama-1.1B,0.6,select,2,0.9993,0.95,PASS,90.0,89.4,53.1,3276
TinyLlama-1.1B,0.6,select,4,0.9989,0.90,PASS,75.0,89.4,65.4,3276
TinyLlama-1.1B,0.6,select,8,0.9746,0.85,PASS,72.3,89.4,74.8,3276
TinyLlama-1.1B,0.6,select,10,0.9683,0.80,PASS,63.7,89.4,77.1,3276
TinyLlama-1.1B,0.6,select,20,0.9064,0.70,PASS,63.1,89.4,82.2,3276
TinyLlama-1.1B,0.6,select,50,0.8243,0.50,PASS,60.3,89.4,87.6,3276
Llama3.2-3B,1.9,select,2,0.9970,0.95,PASS,321.0,49.3,14.9,3276
Llama3.2-3B,1.9,select,4,0.9927,0.90,PASS,274.5,49.3,19.2,3276
Llama3.2-3B,1.9,select,8,0.9893,0.85,PASS,241.4,49.3,22.7,3276
Llama3.2-3B,1.9,select,10,0.9868,0.80,PASS,242.5,49.3,23.4,3276
Llama3.2-3B,1.9,select,20,0.9772,0.70,PASS,225.5,49.3,25.2,3276
Llama3.2-3B,1.9,select,50,0.9774,0.50,PASS,229.1,49.3,26.7,3276
CodeGemma-7B,4.7,select,2,1.0000,0.95,PASS,1242.0,25.3,4.4,3276
CodeGemma-7B,4.7,select,4,1.0000,0.90,PASS,966.0,25.3,5.8,3276
CodeGemma-7B,4.7,select,8,1.0000,0.85,PASS,891.0,25.3,7.0,3276
CodeGemma-7B,4.7,select,10,1.0000,0.80,PASS,852.4,25.3,7.3,3276
CodeGemma-7B,4.7,select,20,1.0000,0.70,PASS,805.8,25.3,8.0,3276
CodeGemma-7B,4.7,select,50,1.0000,0.50,PASS,778.8,25.3,8.6,3276
Mistral-7B,4.1,select,2,0.9962,0.95,PASS,353.1,27.8,11.4,3276
Mistral-7B,4.1,select,4,0.9896,0.90,PASS,310.6,27.8,14.0,3276
Mistral-7B,4.1,select,8,0.9832,0.85,PASS,279.0,27.8,16.1,3276
Mistral-7B,4.1,select,10,0.9798,0.80,PASS,277.0,27.8,16.6,3276
Mistral-7B,4.1,select,20,0.9782,0.70,PASS,252.5,27.8,17.6,3276
Mistral-7B,4.1,select,50,0.9823,0.50,PASS,247.3,27.8,18.4,3276
Llama3.1-8B,4.6,select,2,0.9979,0.95,PASS,361.5,26.5,11.3,3276
Llama3.1-8B,4.6,select,4,0.9940,0.90,PASS,308.3,26.5,13.7,3276
Llama3.1-8B,4.6,select,8,0.9879,0.85,PASS,279.2,26.5,15.5,3276
Llama3.1-8B,4.6,select,10,0.9837,0.80,PASS,272.2,26.5,16.0,3276
Llama3.1-8B,4.6,select,20,0.9779,0.70,PASS,259.4,26.5,16.9,3276
