model,size_gb,modelai_pp512_tok_s,modelai_tg128_tok_s,upstream_pp512_tok_s,upstream_tg128_tok_s,pp_delta_pct,tg_delta_pct
TinyLlama-1.1B,0.6,2303.476236,180.681088,2306.564633,180.090161,-0.1,0.3
Llama3.2-3B,1.9,767.424144,67.890455,771.459843,68.122512,-0.5,-0.3
CodeGemma-7B,4.7,332.358591,31.973726,332.192555,32.001697,0.0,-0.1
Mistral-7B,4.1,325.558545,34.670681,326.260697,35.035441,-0.2,-1.0
Llama3.1-8B,4.6,324.939300,32.672345,324.903018,32.745288,0.0,-0.2
Granite3.1-Dense-8B,4.6,281.412992,28.390529,239.141924,27.402925,17.7,3.6
Aya-8B,4.5,364.766327,33.674169,329.058034,30.331015,10.9,11.0
Qwen2.5-7B,4.4,350.963293,34.655074,315.841323,32.640708,11.1,6.2
Qwen3-8B,4.9,324.502842,30.513044,306.316966,30.665238,5.9,-0.5
DeepSeek-R1-8B,4.9,324.641926,30.653134,324.848609,30.918319,-0.1,-0.9
Gemma2-9B,5.1,301.594409,28.057239,301.472990,27.842462,0.0,0.8
Phi4-14B,8.4,165.614059,15.272737,165.401687,15.427967,0.1,-1.0
Qwen2.5-14B,8.4,166.447993,16.183371,171.214142,15.249994,-2.8,6.1
Qwen2.5-Coder-14B,8.4,167.066869,17.373311,171.152392,17.777696,-2.4,-2.3
Qwen3-14B,8.6,173.960349,16.250105,168.675362,15.026282,3.1,8.1
DeepSeek-R1-14B,8.4,171.332442,15.245702,165.335512,15.531680,3.6,-1.8
Qwen3-30B-A3B,17.3,526.397545,49.888832,528.854016,50.230343,-0.5,-0.7
